Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID,,relevant,
"Kubota Y., Kusumoto B., Shiono T., Ulrich W.",35722318100;23018923300;56054805000;57197229882;,Environmental filters shaping angiosperm tree assembly along climatic and geographic gradients,2018,Journal of Vegetation Science,29,4,,607,618,,18,10.1111/jvs.12648,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052531216&doi=10.1111%2fjvs.12648&partnerID=40&md5=ddb91506585e84a28d40ced7f54f61e1,"Question: Global-scale forest censuses provide an opportunity to understand diversification processes in woody plant communities. Based on the climatic or geographic filtering hypotheses associated with tropical niche conservatism and dispersal limitation, we analysed phylogenetic community structures across a wide range of biomes and evaluated to what extent region-specific processes have influenced large-scale diversity patterns of tree species communities across latitude or continent. Location: Global. Methods: We generated a data set of species abundances for 21,379 angiosperm woody plants in 843 plots worldwide. We calculated net relatedness index (NRI) for each plot, based on a single global species pool and regional species pools, and phylogenetic β-diversity (PBD) between plots. Then, we explored the correlations of NRI with climatic and geographic variables, and clarified phylogenetic dissimilarity along geographic and climatic differences. We also compared these patterns for South America, Africa, the Indo-Pacific, Australia, the Nearctic, Western Palearctic and Eastern Palearctic. Results: NRI based on a global-scale species pool was negatively associated with precipitation and positively associated with Quaternary temperature change. PBD was positively associated with geographic distance and precipitation difference between plots across tropical and extratropical biomes. Moreover, phylogenetic dissimilarity was smaller in extratropical regions than in regions including the tropics, although temperate forests of the Eastern Palearctic showed a greater dissimilarity within extratropical regions. Conclusions: Our findings support predictions of the climatic and geographic filtering hypotheses. Climatic filtering (climatic harshness and paleoclimatic change) relative to tropical niche conservatism played a role in sorting species from the global species pool and shaped the large-scale diversity patterns, such as the latitudinal gradient observed across continents. Geographic filtering associated with dispersal limitation substantially contributed to regional divergence of tropical/extratropical biomes among continents. Old, long-standing geographic barriers and recent climatic events differently influenced evolutionary diversification of angiosperm tree communities in tropical and extratropical biomes. © 2018 The Authors. Journal of Vegetation Science published by John Wiley & Sons Ltd on behalf of Internation Association of Vegetation Science.",climatic filtering; dispersal limitation; diversification; geographic filtering; latitudinal diversity gradient; phylogenetic clustering; phylogenetic β-diversity; quaternary climate change; tropical niche conservatism,angiosperm; climate variation; community structure; environmental gradient; latitudinal gradient; limiting factor; Nearctic Region; niche; Palearctic Region; phylogenetics; plant community; precipitation (climatology); Quaternary; relatedness; species diversity; temperature; tree; woody plant; Africa; Australia; Indian Ocean; Pacific Ocean; South America; Magnoliophyta,Article,Final,Scopus,2-s2.0-85052531216,,FALSE,
"Shiono T., Kusumoto B., Yasuhara M., Kubota Y.",56054805000;23018923300;7102069020;35722318100;,Roles of climate niche conservatism and range dynamics in woody plant diversity patterns through the Cenozoic,2018,Global Ecology and Biogeography,27,7,,865,874,,17,10.1111/geb.12755,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046534988&doi=10.1111%2fgeb.12755&partnerID=40&md5=c3224087bf07af193850a16e760c56b9,"Aim: Large-scale biodiversity patterns are often discussed in the context of ‘out of the tropics’ (OTT) dynamics and/or tropical niche conservatism (TNC), but empirical evidence of these processes remains very limited. The aim of this study was to infer diversification processes and mechanisms of Cenozoic diversity dynamics using woody angiosperms. Location: East Asian continental islands and global. Time period: Cenozoic. Major taxa studied: Woody plants. Methods: We compiled Cenozoic fossil and modern records for woody angiosperm genera to reconstruct biodiversity patterns. To evaluate the relative importance of TNC and OTT, we investigated extinction/survival patterns and latitudinal range dynamics for each genus, in combination with their clade age (mean family age), cold tolerance and per-genus species richness. Results: We found diversity decreasing with latitude in modern-day flora, but not in the warmer periods of the Neogene and Palaeogene. The percentage of genera surviving decreased with latitude through the Cenozoic. Older genera with less cold tolerance and/or species-poor genera went extinct locally at high latitudes in response to post-Pliocene global cooling. Evolutionarily younger temperate genera dispersed from the extratropics to lower latitudes and the Southern Hemisphere after the Neogene. Main conclusions: The latitudinal diversity gradient (LDG) has rapidly steepened post-Pliocene through: (a) selective extinction in higher latitudes of old, less-diversified tropical genera with low freezing tolerance, and (b) equatorward distributional shift of temperate genera. Both these processes were driven by the high-latitude cooling. Such major roles of TNC and OTT, wherein temperate genera in the Northern Hemisphere expanded through the tropics into higher latitudes of the Southern Hemisphere across climatic boundaries without losing their temperate presence, are in contrast to OTT processes in marine systems. Cenozoic patterns of terrestrial woody angiosperm biodiversity indicate the importance of TNC and high-latitude processes, including the extinction of tropical genera and range contraction or shift of temperate genera. © 2018 John Wiley & Sons Ltd",climatic filtering; cold tolerance; directional dispersal; fossil data bias; local extinction; palaeoecology; phylogenetic property; tertiary relict flora; woody angiosperms,angiosperm; biodiversity; Cenozoic; climate effect; cold tolerance; conservation management; extinction; niche; paleoecology; phylogeny; range size; Southern Hemisphere; woody plant; Magnoliophyta,Article,Final,Scopus,2-s2.0-85046534988,,FALSE,
"Dick D.G., Laflamme M.",56669400100;7004526898;,Fuzzy ecospace modelling,2018,Methods in Ecology and Evolution,9,6,,1442,1452,,2,10.1111/2041-210X.13010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046777412&doi=10.1111%2f2041-210X.13010&partnerID=40&md5=44ba3ef97ab63286ed4bf6400e32be12,"Quantitative ecospace models are a numerical approach to comparing the functional structure of different ecosystems on macroevolutionary time-scales, by quantifying the distribution of functional ecological traits. Ecospace modelling has historically been restricted to a combination of visual interpretation and quantification via metrics such as mean sum of ranges. We argue that comparing ecosystem function in this way overlooks critical information about degrees of overlap and redundancy, and potentially misrepresents the role of “empty ecospace” in driving macroevolution. Fuzzy ecospace modelling (FEM) places conventional ecospace modelling within a fuzzy set-theoretic framework, wherein functional groups are learned from the dataset, creating models which are sensitive to overlap and the role of empty ecospace. Fuzzy ecospace modelling is a machine learning program which quantifies functional ecological similarity, and uses this information to classify new taxa. It creates functional groups using a Gower dissimilarity coefficient-based approach to the k-medoids algorithm, and uses fuzzy discriminant analysis to classify the taxa present in another ecosystem into these clusters, based on minimal Gower dissimilarity with a fuzzy threshold. This has the effect of quantifying the similarity between these ecosystems in terms of their functional groups, accounting for total redundancy, partial redundancy/novelty and total novelty. By using fuzzy membership functions, FEM can classify taxa which are highly ecologically dissimilar (outliers with respect to all functional groups), taxa which are fully redundant (100% similarity to those in a given functional group) and taxa in-between, which represent degrees of niche overlap. This can be used to compare the functional groups present in different ecosystems (as well as their degrees of overlap), and as a metric approach to comparing total ecological disparity. These results can be used to test models of the role of empty ecospace in macroevolutionary trends, or to investigate how ecosystems respond to global perturbations. Furthermore, it allows us to define numerically the concept of empty ecospace for n-dimensional datasets. A cluster-based approach to the quantification of ecospace allows for a numerical estimate of niche overlap, a value particularly difficult to quantify in fossil contexts. © 2018 The Authors. Methods in Ecology and Evolution © 2018 British Ecological Society",cluster analysis; ecospace modelling; functional ecology; fuzzy set theory; machine learning; macroevolution; numerical ecology,,Article,Final,Scopus,2-s2.0-85046777412,,FALSE,*
"Fraser D., Haupt R.J., Barr W.A.",35179274700;55827496200;55980989500;,Phylogenetic signal in tooth wear dietary niche proxies,2018,Ecology and Evolution,8,11,,5355,5368,,18,10.1002/ece3.4052,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046252981&doi=10.1002%2fece3.4052&partnerID=40&md5=783d346cdb83655caaba51b9e2b0cae7,"In the absence of independent observational data, ecologists and paleoecologists use proxies for the Eltonian niches of species (i.e., the resource or dietary axes of the niche). Some dietary proxies exploit the fact that mammalian teeth experience wear during mastication, due to both tooth-on-tooth and food-on-tooth interactions. The distribution and types of wear detectible at micro- and macroscales are highly correlated with the resource preferences of individuals and, in turn, species. Because methods that quantify the distribution of tooth wear (i.e., analytical tooth wear methods) do so by direct observation of facets and marks on the teeth of individual animals, dietary inferences derived from them are thought to be independent of the clade to which individuals belong. However, an assumption of clade or phylogenetic independence when making species-level dietary inferences may be misleading if phylogenetic niche conservatism is widespread among mammals. Herein, we test for phylogenetic signal in data from numerous analytical tooth wear studies, incorporating macrowear (i.e., mesowear) and microwear (i.e., low-magnification microwear and dental microwear texture analysis). Using two measures of phylogenetic signal, heritability (H2) and Pagel's λ, we find that analytical tooth wear data are not independent of phylogeny and failing to account for such nonindependence leads to overestimation of discriminability among species with different dietary preferences. We suggest that morphological traits inherited from ancestral clades (e.g., tooth shape) influence the ways in which the teeth wear during mastication and constrain the foods individuals of a species can effectively exploit. We do not suggest that tooth wear is simply phylogeny in disguise; the tooth wear of individuals and species likely varies within some range that is set by morphological constraints. We therefore recommend the use of phylogenetic comparative methods in studies of mammalian tooth wear, whenever possible. © 2018 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",dietary niche; Eltonian niche; mesowear; microwear; phylogenetic signal,,Article,Final,Scopus,2-s2.0-85046252981,,FALSE,
"Birtchnell T., Harada T., Waitt G.",35502875300;55382257900;55882729600;,On the verge of change: Maverick innovation with mobility scooters,2018,Environmental Innovation and Societal Transitions,27,,,118,128,,9,10.1016/j.eist.2017.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035006242&doi=10.1016%2fj.eist.2017.11.002&partnerID=40&md5=220838d689cb1518f6e93c9837b42bd4,"Mobility scooter users provide a practical means through which to better understand socio-technical mobility and low-carbon transitions. The paper offers insights into how socio-technical low-carbon transitions can be influenced by peripheral, disruptive and unanticipated niche-innovations. The article reports on original empirical work conducted with mobility scooter users in a car dependent city, and the ways they negotiate a fossil-fuelled transport system designed for automobiles. Concepts from the multi-level perspective (MLP) are applied to better understand how the individual efforts of mobility scooter users conceived as ‘mavericks’ form a consensus of local practices (or ‘practice-consensus’) in early processes of ‘niche’ innovations. In doing so, insights are offered into how maverick experimentation and innovation within the automobile transport regime help understand different drivers of transition, specifically ‘mobility justice’ sustainability and commercial interests. © 2017 Elsevier B.V.",Grassroots innovation; Green technologies; Multi-level perspective; Social practices; Transport,automobile; experimental study; grassroots level; innovation; social mobility; sustainability; transport vehicle; transportation system,Article,Final,Scopus,2-s2.0-85035006242,,FALSE,
"Bramucci A.R., Labeeuw L., Orata F.D., Ryan E.M., Malmstrom R.R., Case R.J.",56177614200;56646562700;55843522600;57195988013;7004377521;8765232200;,The bacterial symbiont Phaeobacter inhibens Shapes the life history of its algal host emiliania huxleyi,2018,Frontiers in Marine Science,5,MAY,188,,,,10,10.3389/fmars.2018.00188,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047665248&doi=10.3389%2ffmars.2018.00188&partnerID=40&md5=caa91321fb4778718763dfac94955bb9,"Marine microbes form host-associated biofilm communities that are shaped by complex interactions between bacteria and their host. The roseobacter Phaeobacter inhibens exploits both symbiotic and pathogenic niches while interacting with its microalgal host Emiliania huxleyi. During co-cultivation over extended periods with E. huxleyi, we show that P. inhibens selectively kills two host cell types, the diploid calcifying strain and the haploid flagellated strain. Meanwhile, various non-calcifying diploid strains are resistant to this pathogen or the pathogen is avirulent to this cell type. This differential pathogenesis has the potential of dramatically altering the composition of E. huxleyi blooms, which are typically dominated by the roseobacter-susceptible calcifying strain. This cell type makes calcite plates, which are an important sink in the marine carbon cycle and forms part of the marine paleobotanic record. P. inhibens kills the haploid cells, which have been proposed as critical to the survival of the algae, as they readily escape both eukaryotic predation and viral infection. Consequently, bacteria such as P. inhibens could influence E. huxleyi's life history by selective pathogenesis, thereby altering the composition of cell types within E. huxleyi populations and its bloom-bust lifestyle. © 2018 Bramucci, Labeeuw, Orata, Ryan, Malmstrom and Case.",Bacterial-algal interactions; Cell type; Coccolithophore; Marine pathogens; Pathogen ecology; Phytoplankton life history; Phytoplankton pathogen; Roseobacter,,Article,Final,Scopus,2-s2.0-85047665248,,FALSE,
"Muschick M., Russell J.M., Jemmi E., Walker J., Stewart K.M., Murray A.M., Dubois N., Stager J.C., Johnson T.C., Seehausen O.",12242492700;57203364777;57201976805;56585127100;7202778925;57214366794;23767163800;7003905014;7404018791;57207566950;,Arrival order and release from competition does not explain why haplochromine cichlids radiated in lake Victoria,2018,Proceedings of the Royal Society B: Biological Sciences,285,1878,20180462,,,,10,10.1098/rspb.2018.0462,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046680029&doi=10.1098%2frspb.2018.0462&partnerID=40&md5=a8a4669f2156355d4683e797394efcd9,"The frequent occurrence of adaptive radiations on oceanic islands and in lakes is often attributed to ecological opportunity resulting from release from competition where arrival order among lineages predicts which lineage radiates. This priority effect occurs when the lineage that arrives first expands its niche breadth and diversifies into a set of ecological specialists with associated monopolization of the resources. Later-arriving species do not experience ecological opportunity and do not radiate. While theoretical support and evidence from microbial experiments for priority effects are strong, empirical evidence in nature is difficult to obtain. Lake Victoria (LV) is home to an exceptional adaptive radiation of haplochromine cichlid fishes, where 20 trophic guilds and several hundred species emerged in just 15 000 years, the age of the modern lake that was preceded by a complete desiccation lasting several thousand years. However, while about 50 other lineages of teleost fish also have established populations in the lake, none of them has produced more than two species and most of them did not speciate at all. Here, we test if the ancestors of the haplochromine radiation indeed arrived prior to the most competent potential competitors, ‘tilapias’ and cyprinids, both of which have made rapid radiations in other African lakes. We assess LV sediment core intervals from just before the desiccation and just after refilling for the presence of fossil fish teeth. We show that all three lineages were present when modern LV began to fill with water. We conclude that the haplochromines’ extraordinary radiation unfolded in the presence of potentially competing lineages and cannot be attributed to a simple priority effect. © 2018 The Author(s) Published by the Royal Society. All rights reserved.",Adaptive radiation; Ecological opportunity; Fossil fish teeth; Haplochromines; Monopolization; Priority effect,adaptive radiation; cichlid; competition (ecology); desiccation; fossil record; niche breadth; sediment core; species occurrence; tooth; East African Lakes; Lake Victoria; Cichlidae; Cyprinidae; Pisces; Teleostei; animal; cichlid; evolution; lake; phylogeny; Tanzania; Uganda; Animals; Biological Evolution; Cichlids; Lakes; Phylogeny; Tanzania; Uganda,Article,Final,Scopus,2-s2.0-85046680029,,FALSE,
"Villafaña J.A., Rivadeneira M.M.",56659469000;6603101733;,The modulating role of traits on the biogeographic dynamics of chondrichthyans from the Neogene to the present,2018,Paleobiology,44,2,,251,262,,16,10.1017/pab.2018.7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046900440&doi=10.1017%2fpab.2018.7&partnerID=40&md5=f399300eaded26acec568aff2d3ea692,"The environmental transformations that occurred during the Neogene had profound effects on spatiotemporal biodiversity patterns, yet the modulating role of traits (i.e., physiological, ecological, and life-history traits) remains little understood. We tested this idea using the Neogene fossil record of chondrichthyans along the temperate Pacific coast of South America (TPSA). Information for georeferenced occurrences and ecological and life-history information of 38 chondrichthyan fossil genera in 42 Neogene sites was collected. Global georeferenced records were used to estimate present-day biogeographic distributions of the genera and to characterize the range of oceanographic conditions in which each genus lives as a proxy of their realized niche. Biogeographic range shifts (Neogene-present) were evaluated at regional and local scales. The role of traits as drivers of different range dynamics was evaluated using random forest models. The magnitude and direction of biogeographic range shifts were different at both spatial scales. At a regional scale, 34% of genera contracted their ranges, disappearing from the TPSA. At a local scale, a similar proportion of genera expanded and contracted their southern endpoints of distribution. The models showed a high precision at both spatial scales of analyses, but the relative importance of predictor variables differed. At a regional scale, disappearing genera tended to have a higher tolerance to salinity, lower sea surface temperature (SST) range, and smaller body sizes. At a local scale, genera contracting their ranges tended to live at greater depths, tolerate lower levels of primary productivity, and show a reduced tolerance to higher and lower SST ranges. The magnitude and direction of the changes in the range distribution were scale dependent and variable across the genera. Hence, multiple environmental exogenous factors interacted with taxon traits during the Neogene, creating a mosaic of biogeographic dynamics. © 2018 The Paleontological Society. All rights reserved.",,biodiversity; biogeography; environmental factor; fossil record; geographical distribution; Neogene; primary production; range size; sea surface temperature; shark; temperature tolerance; Pacific Coast [South America],Article,Final,Scopus,2-s2.0-85046900440,,TRUE,
"Meseguer A.S., Lobo J.M., Cornuault J., Beerling D., Ruhfel B.R., Davis C.C., Jousselin E., Sanmartín I.",36867697700;56511348500;54986347900;7005793077;23995903100;7404360892;6603060931;55890488900;,Reconstructing deep-time palaeoclimate legacies in the clusioid Malpighiales unveils their role in the evolution and extinction of the boreotropical flora,2018,Global Ecology and Biogeography,27,5,,616,628,,27,10.1111/geb.12724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044308437&doi=10.1111%2fgeb.12724&partnerID=40&md5=a7bf5bde0864284e97a64b75a489d5d7,"Aim: During its entire history, the Earth has gone through periods of climate change similar in scale and pace to the warming trend observed today in the Anthropocene. The impact of these ancient climatic events on the evolutionary trajectories of organisms provides clues on the organismal response to climate change, including extinction, migration and persistence. Here, we examine the evolutionary response to climate cooling/warming events of the clusioid families Calophyllaceae, Podostemaceae and Hypericaceae (CPH clade) and the genus Hypericum as test cases. Location: Holarctic. Time period: Late Cretaceous–Cenozoic. Major taxa studied: Angiosperms. Methods: We use palaeoclimate simulations, species distribution models and phylogenetic comparative approaches calibrated with fossils. Results: Ancestral CPH lineages could have been distributed in the Holarctic 100 Ma, occupying tropical subhumid assemblages, a finding supported by the fossil record. Expansion to closed-canopy tropical rain forest habitats occurred after 60 Ma, in the Cenozoic, in agreement with earlier ideas of a post-Cretaceous origin of current tropical rain forest. Posterior Cooling during the Eocene triggered diversification declines in CPH tropical lineages, and was associated with a climatic shift towards temperate affinities in Hypericum. Hypericum subsequently migrated to tropical mountains, where it encountered different temperate conditions than in the Holarctic. Main conclusions: We hypothesize that most clusioid CPH lineages failed to adapt to temperate regimes during periods of Cenozoic climate change, and went extinct in the Holarctic. In contrast, boreotropical descendants including Hypericum that underwent niche evolution demonstrated selective advantages as climates became colder. Our results point toward macroevolutionary trajectories involving the altering fates of closely related clades that adapt to periods of global climate change versus those that do not. Moreover, they suggest the hypothesis that potentially many clades, particularly inhabitants of boreotropical floras, were likely extirpated from the Holarctic and persist today (if at all) in more southern tropical locations. © 2018 John Wiley & Sons Ltd",boreotropical flora; climate cooling; diversification; fossils; Hypericum; niche evolution,cooling; evolution; extinction; flora; fossil; niche; paleoclimate; proxy climate record; Clusiaceae; Hypericum; Magnoliophyta; Malpighiales; Podostemaceae,Article,Final,Scopus,2-s2.0-85044308437,,FALSE,
"Hassler A., Martin J.E., Amiot R., Tacail T., Godet F.A., Allain R., Balter V.",57201585896;23100252300;8346978200;56039525300;57201579428;56116694500;6603193841;,Calcium isotopes offer clues on resource partitioning among cretaceous predatory dinosaurs,2018,Proceedings of the Royal Society B: Biological Sciences,285,1876,20180197,,,,43,10.1098/rspb.2018.0197,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045347063&doi=10.1098%2frspb.2018.0197&partnerID=40&md5=da03f3e05cea2c2fa6b32b3e91b57c44,"Large predators are overabundant in mid-Cretaceous continental dinosaur assemblages of North Africa. Such unbalanced ecosystem structure involves, among predatory dinosaurs, typical abelisaurid or carcharodontosaurid theropods co-occurring with long-snouted spinosaurids of debated ecology. Here, we report calcium (Ca) isotope values from tooth enamel (expressed as δ44/42Ca) to investigate resource partitioning in mid-Cretaceous assemblages fromNiger (Gadoufaoua) and Morocco (KemKemBeds). In both assemblages, spinosaurids displaya distinct isotopic signature, themost negative in our dataset. This distinct taxonomic clustering in Ca isotope values observed between spinosaurids and other predators provides unambiguous evidence for niche partitioning at the top of the trophic chains: spinosaurids foraged on aquatic environments while abelisaurid and carcharodontosaurid theropods relied almost exclusively on terrestrial resources. © 2018 The Author(s) Published by the Royal Society. All rights reserved.",Calcium isotopes; Cretaceous terrestrial ecosystems; Dinosaurs; Ecology; Palaeodiet; Spinosaurs,calcium; Cretaceous; dinosaur; ecosystem structure; fossil assemblage; isotopic analysis; niche partitioning; paleoecology; paleoenvironment; taxonomy; terrestrial ecosystem; trophic level; Morocco; Niger [West Africa]; North Africa; Dinosauria; Theropoda; calcium; animal; chemistry; classification; comparative study; diet; dinosaur; food chain; fossil; Morocco; Niger; physiology; predation; species difference; tooth; Animals; Calcium Isotopes; Diet; Dinosaurs; Food Chain; Fossils; Morocco; Niger; Predatory Behavior; Species Specificity; Tooth,Article,Final,Scopus,2-s2.0-85045347063,,FALSE,
"Rivera P.C., González-Ittig R.E., Robainas Barcia A., Trimarchi L.I., Levis S., Calderón G.E., Gardenal C.N.",8683173700;6508365446;8964712300;57193109538;7004126620;7006045480;7004671749;,"Molecular phylogenetics and environmental niche modeling reveal a cryptic species in the Oligoryzomys flavescens complex (Rodentia, Cricetidae)",2018,Journal of Mammalogy,99,2,,363,376,,26,10.1093/jmammal/gyx186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045152481&doi=10.1093%2fjmammal%2fgyx186&partnerID=40&md5=260197a1365f891bc1377e47b413c963,"The nominal species Oligoryzomys flavescens (yellow pygmy rice rat) appears in different phylogenetic reconstructions as paraphyletic, forming a complex together with Oligoryzomys fornesi (Fornes' pygmy rice rat) or Oligoryzomys sp. B. To test if O. flavescens includes cryptic species, we used a phylogenetic and a phylogeographic approach to analyze the evolutionary relationships among the lineages of this complex and estimated their geographical distributions using niche modeling analysis. We analyzed a portion of the mitochondrial cytochrome b (Cytb), exon 1 of the Interphotoreceptor Retinoid Binding Protein (Rhp3), and intron 7 of the beta fibrinogen (Fgb) genes and estimated divergence times among lineages using a fossil-calibrated molecular clock. The Cytb phylogenetic tree shows 2 main clades: 1 clustering individuals distributed predominantly in the east of the study area and the other grouping individuals from the west, which would correspond to the subspecies O. f. occidentalis. The eastern clade includes 5 lineages: Oligoryzomys sp. B, O. fornesi, and 3 clades named O. flavescens (O. flavescens Uruguay and southeastern Brazil, O. flavescens eastern Brazil, and O. f. flavescens). The phylogenetic break between these 2 main clades occurred about 0.89 million years ago. These clades were not recovered when nuclear markers were evaluated, revealing incomplete lineage sorting and retention of ancestral polymorphisms. The spatial distributions of the ecological niche of the clades obtained in the Cytb phylogenetic reconstructions were predominantly parapatric; narrow overlapping zones between some of them were detected. Phylogeographic analyses in O. f. flavescens revealed a population expansion about 100,000 years ago, and conformed to an isolation by distance pattern. Our results, together with morphological differences previously described between populations belonging to the east and the samples referable to O. f. occidentalis, suggest that the latter should be recognized as a full species. © 2018 American Society of Mammalogists, www.mammalogy.org.",cryptic species; niche modeling; Oligoryzomys; phylogeny; phylogeography; South America,ancestry; cladistics; crypsis; divergence; ecological modeling; evolutionary biology; isolation effect; molecular ecology; niche; phylogenetics; phylogeny; phylogeography; reconstruction; rodent; spatial distribution; species complex; subspecies; Brazil; Uruguay; Cricetidae; Oligoryzomys; Oligoryzomys flavescens; Oligoryzomys fornesi; Oligoryzomys sp.; Oryzomys; Rodentia,Article,Final,Scopus,2-s2.0-85045152481,,TRUE,?
"Moore E.A., Babbitt C.W., Gaustad G., Moore S.T.",57201488105;6602129130;14020990900;57201485596;,Portfolio Optimization of Nanomaterial Use in Clean Energy Technologies,2018,Environmental Science and Technology,52,7,,4440,4448,,12,10.1021/acs.est.7b04912,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045066686&doi=10.1021%2facs.est.7b04912&partnerID=40&md5=f74ae9c01a84a9450d89e853c934d7cd,"While engineered nanomaterials (ENMs) are increasingly incorporated in diverse applications, risks of ENM adoption remain difficult to predict and mitigate proactively. Current decision-making tools do not adequately account for ENM uncertainties including varying functional forms, unique environmental behavior, economic costs, unknown supply and demand, and upstream emissions. The complexity of the ENM system necessitates a novel approach: in this study, the adaptation of an investment portfolio optimization model is demonstrated for optimization of ENM use in renewable energy technologies. Where a traditional investment portfolio optimization model maximizes return on investment through optimal selection of stock, ENM portfolio optimization maximizes the performance of energy technology systems by optimizing selective use of ENMs. Cumulative impacts of multiple ENM material portfolios are evaluated in two case studies: organic photovoltaic cells (OPVs) for renewable energy and lithium-ion batteries (LIBs) for electric vehicles. Results indicate ENM adoption is dependent on overall performance and variance of the material, resource use, environmental impact, and economic trade-offs. From a sustainability perspective, improved clean energy applications can help extend product lifespans, reduce fossil energy consumption, and substitute ENMs for scarce incumbent materials. © 2018 American Chemical Society.",,Decision making; Economic and social effects; Economics; Energy utilization; Environmental impact; Financial data processing; Lithium-ion batteries; Nanostructured materials; Optimization; Photoelectrochemical cells; Photovoltaic cells; Renewable energy resources; Sustainable development; Clean energy technology; Engineered nanomaterials; Environmental behavior; Fossil energy consumption; Organic photovoltaic cell (OPVs); Portfolio optimization; Renewable energy technologies; Return on investments; Investments; nanomaterial; environment; investment; physical phenomena; technology; Environment; Investments; Nanostructures; Physical Phenomena; Technology,Article,Final,Scopus,2-s2.0-85045066686,,FALSE,
"MacPherson A.J., Gillson L., Hoffman M.T.",57201482020;6602665508;7403154726;,"Climatic buffering and anthropogenic degradation of a Mediterranean-type shrubland refugium at its semi-arid boundary, South Africa",2018,Holocene,28,4,,651,666,,6,10.1177/0959683617735582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045063905&doi=10.1177%2f0959683617735582&partnerID=40&md5=02377c90554a8ef09e8ae25629d23c20,"The mega-diverse, Mediterranean-type fynbos biome may be vulnerable to future changes in climate and associated fire regimes, in particular to increasing summer-drought intensity and associated potential expansion of adjacent semi-arid vegetation types. Studying Holocene vegetation dynamics at the fynbos–succulent karoo boundary may provide insights into the resilience or sensitivity of fynbos to climate change. In this study, fossil pollen, non-pollen palynomorphs and charcoal data spanning ~5500 to −50 cal. yr BP were generated from an accelerator mass spectrometer (AMS) radiocarbon-dated sediment core extracted directly at the present-day fynbos–succulent karoo biome boundary at Groenkloof, a site in the Kamiesberg Mountains of Namaqualand, South Africa. Contrary to expectations, during the Mid-Holocene Altithermal from 5480 to 4025 cal. yr BP, fynbos and fire thrived through summer moisture subsidies associated with enhanced sub-tropical easterly flow. Subsequent cooling from 4025 to 2005 cal. yr BP resulted in enhanced summer drought and overall fynbos biome contraction, though woody fynbos shrubs persisted through physiological adaptations to drought. Desert succulents typical of the succulent karoo, such as those of Aizoaceae and Crassulaceae, failed to colonise the emergent niche space, resulting in dominance of an ambiguous grassy, asteraceous fynbos. More recent wetting associated with the ‘Little Ice Age’ Holocene temperature minima from 695 to 100 cal. yr BP prompted a resurgence in fynbos abundance, but frequent fire driven by pastoralists appears to have reduced the fynbos community’s functional diversity. Palaeoecological data from the Kamiesberg suggest that both climatic buffering of mountain refugia and high physiological resistance among certain fynbos taxa have contributed to the biome’s long-term resilience. Summer rainfall associated with the sub-tropical easterlies has been key in maintaining eastern fynbos refugia in past interglacial temperature maxima. The data also suggest that pre-historic land use and resulting fire-regime manipulations have resulted in the development of a taxonomically and functionally simplified alternative fynbos ecosystem state. © 2017, © The Author(s) 2017.",fynbos; interglacial; mid-Holocene Altithermal; no-analogue; palaeoecology; resilience,anthropogenic effect; buffering; cooling; environmental degradation; fynbos; Holocene; interglacial; paleoecology; paleotemperature; palynomorph; plant community; Pleistocene; refugium; semiarid region; shrubland; vegetation dynamics; Namaqualand; Aizoaceae; Crassulaceae,Article,Final,Scopus,2-s2.0-85045063905,,FALSE,
